Date,Divisions,Channels,Product category,Cash,Actual Sales,Planned Sales
2022-01-31,Север,B2C,Electronics,Cash,375,315
2022-01-31,Север,B2C,Electronics,Non-Cash,696,585
2022-01-31,Север,B2C,Clothing,Cash,320,262
2022-01-31,Север,B2C,Clothing,Non-Cash,595,488
2022-01-31,Север,B2C,Home & Kitchen,Cash,118,158
2022-01-31,Север,B2C,Home & Kitchen,Non-Cash,219,292
2022-01-31,Север,B2C,Sports,Cash,164,210
2022-01-31,Север,B2C,Sports,Non-Cash,304,390
2022-01-31,Север,B2C,Books,Cash,82,105
2022-01-31,Север,B2C,Books,Non-Cash,152,195
2022-01-31,Север,B2B,Electronics,Cash,479,420
2022-01-31,Север,B2B,Electronics,Non-Cash,889,780
2022-01-31,Север,B2B,Clothing,Cash,294,350
2022-01-31,Север,B2B,Clothing,Non-Cash,546,650
2022-01-31,Север,B2B,Home & Kitchen,Cash,197,210
2022-01-31,Север,B2B,Home & Kitchen,Non-Cash,367,390
2022-01-31,Север,B2B,Sports,Cash,269,280
2022-01-31,Север,B2B,Sports,Non-Cash,499,520
2022-01-31,Север,B2B,Books,Cash,155,140
2022-01-31,Север,B2B,Books,Non-Cash,289,260
2022-01-31,Север,Mobile Commerce,Electronics,Cash,370,378
2022-01-31,Север,Mobile Commerce,Electronics,Non-Cash,688,702
2022-01-31,Север,Mobile Commerce,Clothing,Cash,255,315
2022-01-31,Север,Mobile Commerce,Clothing,Non-Cash,474,585
2022-01-31,Север,Mobile Commerce,Home & Kitchen,Cash,187,189
2022-01-31,Север,Mobile Commerce,Home & Kitchen,Non-Cash,347,351
2022-01-31,Север,Mobile Commerce,Sports,Cash,249,252
2022-01-31,Север,Mobile Commerce,Sports,Non-Cash,463,468
2022-01-31,Север,Mobile Commerce,Books,Cash,110,126
2022-01-31,Север,Mobile Commerce,Books,Non-Cash,204,234
2022-01-31,Запад,B2C,Electronics,Cash,359,472
2022-01-31,Запад,B2C,Electronics,Non-Cash,667,878
2022-01-31,Запад,B2C,Clothing,Cash,445,394
2022-01-31,Запад,B2C,Clothing,Non-Cash,826,731
2022-01-31,Запад,B2C,Home & Kitchen,Cash,269,236
2022-01-31,Запад,B2C,Home & Kitchen,Non-Cash,500,439
2022-01-31,Запад,B2C,Sports,Cash,309,315
2022-01-31,Запад,B2C,Sports,Non-Cash,573,585
2022-01-31,Запад,B2C,Books,Cash,191,158
2022-01-31,Запад,B2C,Books,Non-Cash,353,292
2022-01-31,Запад,B2B,Electronics,Cash,624,630
2022-01-31,Запад,B2B,Electronics,Non-Cash,1158,1170
2022-01-31,Запад,B2B,Clothing,Cash,483,525
2022-01-31,Запад,B2B,Clothing,Non-Cash,897,975
2022-01-31,Запад,B2B,Home & Kitchen,Cash,353,315
2022-01-31,Запад,B2B,Home & Kitchen,Non-Cash,655,585
2022-01-31,Запад,B2B,Sports,Cash,420,420
2022-01-31,Запад,B2B,Sports,Non-Cash,780,780
2022-01-31,Запад,B2B,Books,Cash,185,210
2022-01-31,Запад,B2B,Books,Non-Cash,343,390
2022-01-31,Запад,Mobile Commerce,Electronics,Cash,471,567
2022-01-31,Запад,Mobile Commerce,Electronics,Non-Cash,874,1053
2022-01-31,Запад,Mobile Commerce,Clothing,Cash,396,472
2022-01-31,Запад,Mobile Commerce,Clothing,Non-Cash,738,878
2022-01-31,Запад,Mobile Commerce,Home & Kitchen,Cash,270,284
2022-01-31,Запад,Mobile Commerce,Home & Kitchen,Non-Cash,500,526
2022-01-31,Запад,Mobile Commerce,Sports,Cash,344,378
2022-01-31,Запад,Mobile Commerce,Sports,Non-Cash,639,702
2022-01-31,Запад,Mobile Commerce,Books,Cash,151,189
2022-01-31,Запад,Mobile Commerce,Books,Non-Cash,281,351
2022-01-31,Восток,B2C,Electronics,Cash,709,788
2022-01-31,Восток,B2C,Electronics,Non-Cash,1316,1462
2022-01-31,Восток,B2C,Clothing,Cash,800,656
2022-01-31,Восток,B2C,Clothing,Non-Cash,1487,1219
2022-01-31,Восток,B2C,Home & Kitchen,Cash,296,394
2022-01-31,Восток,B2C,Home & Kitchen,Non-Cash,548,731
2022-01-31,Восток,B2C,Sports,Cash,488,525
2022-01-31,Восток,B2C,Sports,Non-Cash,907,975
2022-01-31,Восток,B2C,Books,Cash,288,262
2022-01-31,Восток,B2C,Books,Non-Cash,537,488
2022-01-31,Восток,B2B,Electronics,Cash,1040,1050
2022-01-31,Восток,B2B,Electronics,Non-Cash,1930,1950
2022-01-31,Восток,B2B,Clothing,Cash,1085,875
2022-01-31,Восток,B2B,Clothing,Non-Cash,2015,1625
2022-01-31,Восток,B2B,Home & Kitchen,Cash,546,525
2022-01-31,Восток,B2B,Home & Kitchen,Non-Cash,1014,975
2022-01-31,Восток,B2B,Sports,Cash,658,700
2022-01-31,Восток,B2B,Sports,Non-Cash,1222,1300
2022-01-31,Восток,B2B,Books,Cash,329,350
2022-01-31,Восток,B2B,Books,Non-Cash,611,650
2022-01-31,Восток,Mobile Commerce,Electronics,Cash,841,945
2022-01-31,Восток,Mobile Commerce,Electronics,Non-Cash,1562,1755
2022-01-31,Восток,Mobile Commerce,Clothing,Cash,898,788
2022-01-31,Восток,Mobile Commerce,Clothing,Non-Cash,1667,1462
2022-01-31,Восток,Mobile Commerce,Home & Kitchen,Cash,505,472
2022-01-31,Восток,Mobile Commerce,Home & Kitchen,Non-Cash,939,878
2022-01-31,Восток,Mobile Commerce,Sports,Cash,479,630
2022-01-31,Восток,Mobile Commerce,Sports,Non-Cash,889,1170
2022-01-31,Восток,Mobile Commerce,Books,Cash,265,315
2022-01-31,Восток,Mobile Commerce,Books,Non-Cash,491,585
2022-02-28,Север,B2C,Electronics,Cash,337,315
2022-02-28,Север,B2C,Electronics,Non-Cash,626,585
2022-02-28,Север,B2C,Clothing,Cash,278,262
2022-02-28,Север,B2C,Clothing,Non-Cash,517,488
2022-02-28,Север,B2C,Home & Kitchen,Cash,134,158
2022-02-28,Север,B2C,Home & Kitchen,Non-Cash,248,292
2022-02-28,Север,B2C,Sports,Cash,206,210
2022-02-28,Север,B2C,Sports,Non-Cash,382,390
2022-02-28,Север,B2C,Books,Cash,116,105
2022-02-28,Север,B2C,Books,Non-Cash,215,195
2022-02-28,Север,B2B,Electronics,Cash,361,420
2022-02-28,Север,B2B,Electronics,Non-Cash,671,780
2022-02-28,Север,B2B,Clothing,Cash,360,350
2022-02-28,Север,B2B,Clothing,Non-Cash,670,650
2022-02-28,Север,B2B,Home & Kitchen,Cash,229,210
2022-02-28,Север,B2B,Home & Kitchen,Non-Cash,425,390
2022-02-28,Север,B2B,Sports,Cash,210,280
2022-02-28,Север,B2B,Sports,Non-Cash,390,520
2022-02-28,Север,B2B,Books,Cash,105,140
2022-02-28,Север,B2B,Books,Non-Cash,195,260
2022-02-28,Север,Mobile Commerce,Electronics,Cash,420,378
2022-02-28,Север,Mobile Commerce,Electronics,Non-Cash,779,702
2022-02-28,Север,Mobile Commerce,Clothing,Cash,252,315
2022-02-28,Север,Mobile Commerce,Clothing,Non-Cash,468,585
2022-02-28,Север,Mobile Commerce,Home & Kitchen,Cash,214,189
2022-02-28,Север,Mobile Commerce,Home & Kitchen,Non-Cash,397,351
2022-02-28,Север,Mobile Commerce,Sports,Cash,290,252
2022-02-28,Север,Mobile Commerce,Sports,Non-Cash,538,468
2022-02-28,Север,Mobile Commerce,Books,Cash,116,126
2022-02-28,Север,Mobile Commerce,Books,Non-Cash,215,234
2022-02-28,Запад,B2C,Electronics,Cash,425,472
2022-02-28,Запад,B2C,Electronics,Non-Cash,790,878
2022-02-28,Запад,B2C,Clothing,Cash,311,394
2022-02-28,Запад,B2C,Clothing,Non-Cash,577,731
2022-02-28,Запад,B2C,Home & Kitchen,Cash,274,236
2022-02-28,Запад,B2C,Home & Kitchen,Non-Cash,509,439
2022-02-28,Запад,B2C,Sports,Cash,369,315
2022-02-28,Запад,B2C,Sports,Non-Cash,684,585
2022-02-28,Запад,B2C,Books,Cash,167,158
2022-02-28,Запад,B2C,Books,Non-Cash,310,292
2022-02-28,Запад,B2B,Electronics,Cash,479,630
2022-02-28,Запад,B2B,Electronics,Non-Cash,889,1170
2022-02-28,Запад,B2B,Clothing,Cash,399,525
2022-02-28,Запад,B2B,Clothing,Non-Cash,741,975
2022-02-28,Запад,B2B,Home & Kitchen,Cash,359,315
2022-02-28,Запад,B2B,Home & Kitchen,Non-Cash,667,585
2022-02-28,Запад,B2B,Sports,Cash,487,420
2022-02-28,Запад,B2B,Sports,Non-Cash,905,780
